Batch Number,Record,Success,Error
1,"{""mbfc__Person__c"": ""003Ps00000frjIUIAY"", ""mbfc__Context__c"": ""001Ps00000l5eVYIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjIUIAY_001Ps00000l5eVYIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjIYIAY"", ""mbfc__Context__c"": ""001Ps00000l5eVTIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjIYIAY_001Ps00000l5eVTIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjIhIAI"", ""mbfc__Context__c"": ""001Ps00000l5eUsIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjIhIAI_001Ps00000l5eUsIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjvSIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eUqIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjvSIAQ_001Ps00000l5eUqIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjvTIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eUrIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjvTIAQ_001Ps00000l5eUrIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjvVIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eVCIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjvVIAQ_001Ps00000l5eVCIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjvcIAA"", ""mbfc__Context__c"": ""001Ps00000l5eUnIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjvcIAA_001Ps00000l5eUnIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjvdIAA"", ""mbfc__Context__c"": ""001Ps00000l5eV3IAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjvdIAA_001Ps00000l5eV3IAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjveIAA"", ""mbfc__Context__c"": ""001Ps00000l5eVWIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjveIAA_001Ps00000l5eVWIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjvfIAA"", ""mbfc__Context__c"": ""001Ps00000l5eV3IAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjvfIAA_001Ps00000l5eV3IAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjvhIAA"", ""mbfc__Context__c"": ""001Ps00000l5eVTIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjvhIAA_001Ps00000l5eVTIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjvqIAA"", ""mbfc__Context__c"": ""001Ps00000l5eVYIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjvqIAA_001Ps00000l5eVYIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjvuIAA"", ""mbfc__Context__c"": ""001Ps00000l5eUnIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjvuIAA_001Ps00000l5eUnIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjw5IAA"", ""mbfc__Context__c"": ""001Ps00000l5eV5IAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjw5IAA_001Ps00000l5eV5IAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjw6IAA"", ""mbfc__Context__c"": ""001Ps00000l5eVKIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjw6IAA_001Ps00000l5eVKIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjw9IAA"", ""mbfc__Context__c"": ""001Ps00000l5eV3IAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjw9IAA_001Ps00000l5eV3IAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwAIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eVKIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwAIAQ_001Ps00000l5eVKIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwBIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eUnIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwBIAQ_001Ps00000l5eUnIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwCIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eVYIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwCIAQ_001Ps00000l5eVYIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwMIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eVGIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwMIAQ_001Ps00000l5eVGIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwTIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eUrIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwTIAQ_001Ps00000l5eUrIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwcIAA"", ""mbfc__Context__c"": ""001Ps00000l5eVKIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwcIAA_001Ps00000l5eVKIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwhIAA"", ""mbfc__Context__c"": ""001Ps00000l5eUoIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwhIAA_001Ps00000l5eUoIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwlIAA"", ""mbfc__Context__c"": ""001Ps00000l5eUoIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwlIAA_001Ps00000l5eUoIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwnIAA"", ""mbfc__Context__c"": ""001Ps00000l5eVKIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwnIAA_001Ps00000l5eVKIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwoIAA"", ""mbfc__Context__c"": ""001Ps00000l5eVZIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwoIAA_001Ps00000l5eVZIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwpIAA"", ""mbfc__Context__c"": ""001Ps00000l5eV0IAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwpIAA_001Ps00000l5eV0IAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwuIAA"", ""mbfc__Context__c"": ""001Ps00000l5eVZIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwuIAA_001Ps00000l5eVZIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwvIAA"", ""mbfc__Context__c"": ""001Ps00000l5eUuIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwvIAA_001Ps00000l5eUuIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjwwIAA"", ""mbfc__Context__c"": ""001Ps00000l5eVYIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjwwIAA_001Ps00000l5eVYIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjx4IAA"", ""mbfc__Context__c"": ""001Ps00000l5eVQIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjx4IAA_001Ps00000l5eVQIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjx5IAA"", ""mbfc__Context__c"": ""001Ps00000l5eVTIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjx5IAA_001Ps00000l5eVTIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjx7IAA"", ""mbfc__Context__c"": ""001Ps00000l5eUqIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjx7IAA_001Ps00000l5eUqIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjx9IAA"", ""mbfc__Context__c"": ""001Ps00000l5eVKIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjx9IAA_001Ps00000l5eVKIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjxAIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eVKIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjxAIAQ_001Ps00000l5eVKIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjxFIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eVKIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjxFIAQ_001Ps00000l5eVKIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjxKIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eUnIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjxKIAQ_001Ps00000l5eUnIAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjxNIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eVKIAY"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjxNIAQ_001Ps00000l5eVKIAY_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjxQIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eV3IAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjxQIAQ_001Ps00000l5eV3IAI_RelComm""}",True,
1,"{""mbfc__Person__c"": ""003Ps00000frjxRIAQ"", ""mbfc__Context__c"": ""001Ps00000l5eVdIAI"", ""mbfc__Category__c"": ""Religious Community"", ""mbfc__Affiliation__c"": ""Member"", ""Archdpdx_Migration_Id__c"": ""003Ps00000frjxRIAQ_001Ps00000l5eVdIAI_RelComm""}",True,
